open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-01-01,3676.22,3776.45,3673.46,3765.54,154143.8968,574718328.452744,408666,76937.9798,286855413.588924
2022-01-02,3765.54,3857.44,3717.3,3828.27,154791.4263,585374957.73046,450610,81170.5053,307056603.74279
2022-01-03,3828.11,3853.09,3680.0,3765.89,236245.8586,892944105.552994,594541,114525.6299,433084435.776656
2022-01-04,3765.89,3900.73,3713.11,3785.11,288258.5549,1098182607.925726,676651,147451.4285,561958201.762099
2022-01-05,3785.1,3848.0,3415.0,3540.63,397942.0363,1464819255.093511,962670,183641.1134,676663293.71856
2022-01-06,3539.82,3550.43,3300.0,3406.81,496745.7413,1698727637.365026,1006279,250536.4828,856938730.300548
2022-01-07,3406.81,3416.76,3064.42,3199.24,669631.7262,2149562773.329257,1307591,329420.1321,1057683053.114078
2022-01-08,3198.68,3250.0,3000.0,3080.95,400692.1061,1252795163.486269,814600,192818.0544,602863815.601238
2022-01-09,3080.98,3211.72,3057.35,3151.97,275874.1643,864505480.881738,591523,140931.0384,441833198.219928
2022-01-10,3151.97,3185.0,2928.83,3082.68,529818.3866,1616550523.097201,935157,259668.2416,792807641.846424
2022-01-11,3082.87,3263.54,3051.8,3239.72,362446.7087,1145852583.62298,668961,184190.5779,582792200.298909
2022-01-12,3239.73,3411.43,3206.2,3371.26,370465.8015,1226038697.472902,737196,193929.257,641836657.478435
2022-01-13,3371.6,3410.0,3233.43,3240.61,336234.8799,1116293607.687924,666486,160295.7388,532448245.942649
2022-01-14,3240.61,3342.79,3188.0,3307.42,285326.3505,931347172.762881,572125,138986.6442,453872875.293877
2022-01-15,3307.42,3371.64,3261.0,3326.04,203100.3778,675484534.656949,444485,97533.1176,324387118.029709
2022-01-16,3326.51,3393.6,3269.62,3346.88,210782.2277,701885138.83374,495317,105304.5398,350817972.668298
2022-01-17,3346.89,3357.57,3141.1,3209.67,284063.6548,922568646.923763,646419,138706.976,450497992.462888
2022-01-18,3209.68,3243.87,3082.0,3159.85,299134.2728,943140782.389924,579484,147919.8085,466359496.762586
2022-01-19,3159.85,3174.87,3000.0,3084.02,332996.5703,1035249881.473593,647383,166361.989,517513738.789529
2022-01-20,3084.02,3273.37,2987.15,3001.48,357596.7062,1124982397.810134,718946,178166.9919,561491222.664943
2022-01-21,3001.48,3034.12,2403.0,2568.15,1022021.70024,2828122722.883165,1723216,492708.32186,1364832200.329052
2022-01-22,2567.47,2626.0,2300.0,2412.18,1081357.54893,2652383041.9991856,1994513,527287.46361,1293783666.72144
2022-01-23,2412.18,2556.78,2370.8,2539.01,580497.7613,1431696375.615066,1053655,300885.431,742655338.314519
2022-01-24,2539.0,2539.75,2159.0,2439.29,1123134.70389,2592832133.2002006,1848889,556098.73488,1284560488.6860812
2022-01-25,2439.56,2506.55,2348.96,2458.83,510152.954,1237051148.4309,946366,261026.4288,633004042.497613
2022-01-26,2459.04,2722.0,2402.03,2462.99,806441.62289,2058599145.3419724,1384921,405477.92029,1034936471.4965833
2022-01-27,2463.0,2521.0,2316.43,2424.25,599481.7159,1448742950.458556,1029204,308517.357,745718418.79699
2022-01-28,2424.02,2558.98,2357.88,2544.99,485149.8065,1183543182.408244,884305,243890.0215,595442818.157094
2022-01-29,2544.99,2636.66,2520.01,2601.43,376666.8246,966725225.782995,656017,196742.3966,504979471.310492
2022-01-30,2601.43,2640.0,2542.5,2601.68,290770.0859,755039834.565121,564478,147074.1889,381845687.596601
2022-01-31,2601.67,2706.77,2476.07,2686.94,444584.851,1154488527.579429,814997,226655.5532,589826074.939442
2022-02-01,2686.94,2813.0,2673.52,2787.23,390034.27362,1075341490.803359,790343,199367.04362,549663013.504231
2022-02-02,2787.48,2810.88,2612.72,2680.67,447852.1228,1215958780.122614,819863,225815.1234,613110822.300808
