open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-01-01,3337.78,3374.85,3313.88,3360.38,190238.5861,636613395.695965,1182219,99518.0217,333085258.287462
2025-01-02,3360.39,3509.99,3354.5,3455.67,338632.8874,1166286232.162882,2373075,169044.3627,582161055.521965
2025-01-03,3455.68,3630.0,3423.44,3609.01,334041.0604,1179953901.101814,2293811,169194.075,597682226.030962
2025-01-04,3609.0,3671.6,3572.42,3656.88,229266.3133,829864804.859837,1567855,116823.1483,422850861.086886
2025-01-05,3656.88,3675.25,3593.7,3635.99,155444.1741,564147572.800669,1461192,76901.3758,279135355.270006
2025-01-06,3636.0,3744.83,3610.63,3687.45,329642.3648,1210642823.302069,2753873,166824.6196,612822771.954551
2025-01-07,3687.44,3700.86,3356.31,3381.31,541543.2874,1899318756.158016,3538701,254553.4502,892893276.020809
2025-01-08,3381.31,3415.1,3208.2,3327.29,584749.9627,1944382187.656659,3766197,275577.2269,916259778.418379
2025-01-09,3327.29,3357.27,3158.0,3219.2,501818.4247,1638958679.714368,3685889,237793.7346,777185110.082679
2025-01-10,3219.2,3322.49,3193.97,3267.04,454142.1333,1482940591.671988,3199118,222519.1849,726413490.668374
2025-01-11,3267.05,3320.18,3217.56,3282.83,151679.7487,494933295.358262,1208777,74202.7876,242350177.143991
2025-01-12,3282.83,3300.0,3224.49,3267.3,164879.9709,538751712.045787,1151908,78312.5332,255990007.31399
2025-01-13,3267.3,3339.0,2920.0,3137.51,845907.5669,2614824635.154439,4900248,410956.8014,1271030799.211468
2025-01-14,3137.51,3256.67,3125.65,3225.63,374308.4517,1197715520.899026,2446285,180843.3605,578754045.677244
2025-01-15,3225.63,3473.75,3186.36,3451.52,464188.034,1537407357.366771,2689488,233981.7183,775803015.406068
2025-01-16,3451.51,3460.79,3265.44,3308.05,471282.6787,1573512574.074851,2667507,227669.8721,760336218.428321
2025-01-17,3308.04,3525.72,3307.5,3473.63,518550.1813,1773013467.309093,3165882,269301.5133,920836504.156446
2025-01-18,3473.64,3494.39,3227.0,3307.71,634197.1281,2100633661.764419,3931387,309754.3291,1025970289.517671
2025-01-19,3307.71,3448.99,3130.48,3215.12,1342301.5217,4408659681.01233,7064813,651932.4312,2143657478.900286
2025-01-20,3215.2,3453.69,3142.78,3284.0,1158354.7814,3830020315.131607,7137551,572672.7028,1895320599.961986
2025-01-21,3283.99,3368.0,3204.6,3327.54,548706.0513,1802317579.667659,3752957,271093.6278,890755658.885448
2025-01-22,3327.55,3365.99,3222.85,3242.6,349240.7498,1150648371.196559,2187671,163482.76,538844820.504563
2025-01-23,3242.61,3347.97,3185.0,3338.21,605592.7225,1965307923.080547,3255920,303294.9418,984590435.717348
2025-01-24,3338.22,3428.0,3275.9,3310.09,451524.2752,1519379297.690963,2793569,215008.0035,723830815.046523
2025-01-25,3310.1,3350.68,3268.66,3318.77,208559.0415,690383485.125444,1456638,98129.4498,324799632.127654
2025-01-26,3318.76,3362.0,3230.0,3232.61,272165.469,899291017.613374,1416325,116826.2789,386320687.827929
2025-01-27,3232.61,3253.91,3020.01,3182.44,753004.7529,2349770569.706611,4888504,345284.5821,1077195796.137122
2025-01-28,3182.44,3223.01,3040.03,3077.72,350959.7173,1107001736.175005,2936974,170776.7271,538990208.723447
2025-01-29,3077.72,3182.52,3054.06,3113.9,409737.2576,1278256645.74957,3277369,200807.9235,626556500.38162
2025-01-30,3113.9,3283.43,3091.06,3247.39,350639.4823,1130886606.539682,2410789,180484.1307,581935263.184576
2025-01-31,3247.38,3437.31,3213.8,3300.99,648681.6561,2158479814.331743,3802893,343645.0199,1144000791.641501
2025-02-01,3300.99,3331.98,3101.7,3117.54,354065.2525,1142845926.865901,2900696,170674.3585,551595869.395103
2025-02-02,3117.54,3163.2,2750.71,2869.68,1050805.93,3131430738.391756,5974563,494989.1069,1476742890.842307
2025-02-03,2869.68,2921.0,2125.01,2879.9,2807979.021,7325488963.974643,10550628,1344253.3318,3509887592.196321
2025-02-04,2879.89,2888.5,2632.6,2731.19,1259594.3919,3477670143.18934,4767588,602952.4706,1664512055.454141
2025-02-05,2731.19,2826.95,2699.13,2788.25,686593.0429,1897054238.490223,3498289,327991.4256,906340721.064559
2025-02-06,2788.25,2857.64,2655.28,2686.64,719459.9571,1981674881.322119,3805682,325809.3292,897799508.979957
2025-02-07,2686.63,2797.5,2562.51,2622.1,695467.3612,1875060380.334312,3272698,327218.1388,882532535.722566
2025-02-08,2622.11,2667.3,2588.8,2632.46,379685.1509,996898803.984915,1865406,182406.1592,478945902.373384
2025-02-09,2632.46,2698.9,2520.02,2627.18,387166.7911,1016386052.050485,2319910,185314.8373,486833033.685477
2025-02-10,2627.18,2693.79,2559.85,2661.19,398173.2716,1051708232.55688,2736600,195023.1915,515093980.36806
2025-02-11,2661.19,2725.04,2558.24,2602.59,484196.1435,1286091770.773805,2776008,226374.751,602010853.065178
2025-02-12,2602.59,2795.45,2546.92,2738.27,646295.8959,1705436939.533127,4190060,324858.6193,858009920.218688
2025-02-13,2738.27,2757.28,2612.76,2675.87,443769.2853,1185301387.824423,3213834,217787.6458,581683038.436098
2025-02-14,2675.87,2791.78,2664.46,2725.95,419895.7862,1142877818.043903,2645594,222908.7801,606858652.139505
2025-02-15,2725.95,2739.0,2662.28,2693.04,202971.4295,548554180.222323,1678502,90810.3179,245463912.573468
2025-02-16,2693.04,2727.31,2651.26,2661.41,191231.5314,514482095.174283,1449884,89433.4055,240599550.812392
2025-02-17,2661.41,2849.7,2637.71,2744.05,639739.8197,1752388687.805609,3881592,329950.3751,904399237.600089
2025-02-18,2744.05,2756.93,2605.44,2671.99,604863.8737,1616153629.018717,3898156,285508.8694,762964442.385853
2025-02-19,2672.0,2736.7,2656.03,2715.5,326154.0202,882047186.131933,2376004,163604.8767,442601160.332459
2025-02-20,2715.51,2770.59,2707.18,2738.04,336735.2544,921476439.354937,2096063,170515.6667,466756209.201236
2025-02-21,2738.04,2845.32,2616.72,2663.0,890440.0604,2429306635.177234,3872201,428879.7345,1170981749.414793
2025-02-22,2663.0,2798.07,2653.33,2763.22,444989.6669,1214059511.899935,2597168,248387.7772,677008292.573996
2025-02-23,2763.23,2857.34,2745.41,2819.69,611002.1222,1711849865.819046,2796506,321625.3377,901407652.084993
2025-02-24,2819.7,2839.95,2470.33,2513.52,876876.3707,2334572148.661955,4737903,411575.6658,1095102528.763101
2025-02-25,2513.52,2533.49,2313.49,2495.7,1322016.8718,3207776114.782463,7076645,655424.217,1590563026.371759
2025-02-26,2495.69,2507.5,2253.77,2336.37,863087.2133,2059160287.050773,5495972,408608.956,975185376.421555
2025-02-27,2336.38,2381.6,2230.57,2307.72,637583.9106,1480849324.540646,3906903,297736.9154,691230000.438891
2025-02-28,2307.72,2314.18,2076.26,2237.59,1291539.0557,2794546441.726884,5708556,625030.5287,1351940395.764772
2025-03-01,2237.59,2281.14,2142.73,2217.39,446430.7271,988941461.430361,2511839,209196.8605,463872993.775749
2025-03-02,2217.4,2550.58,2172.04,2518.11,1266684.7748,3001215557.603687,4977392,627527.3017,1488652979.402768
2025-03-03,2518.12,2523.56,2097.91,2149.01,1109565.2003,2529346005.909485,4969357,510488.2652,1161760907.053157
2025-03-04,2149.02,2221.88,1993.2,2171.51,1257822.3372,2634485208.259771,5856962,596181.03,1248910466.060303
2025-03-05,2171.5,2273.51,2155.03,2241.59,687130.7897,1514537132.807393,3480893,326604.0072,720412253.031027
2025-03-06,2241.59,2319.99,2176.9,2202.2,596908.3935,1343407922.359188,3304973,304201.8256,684721457.490546
2025-03-07,2202.21,2258.47,2101.82,2141.6,782387.2606,1698459492.23933,4452265,384442.6282,834995037.361386
2025-03-08,2141.6,2234.93,2105.06,2203.58,328793.0979,714743022.410347,2118806,165408.6608,359616114.815223
