open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-01-01,2281.87,2352.37,2265.24,2352.04,216702.6914,500451219.612806,536670,112374.437,259588575.400245
2024-01-02,2352.05,2431.3,2341.0,2355.34,458041.6642,1090922198.049091,1028335,223746.2422,532982278.479752
2024-01-03,2355.35,2385.45,2100.0,2209.72,798729.4869,1797597895.179904,1351067,401227.7608,903126257.915757
2024-01-04,2209.72,2294.69,2201.91,2267.11,448844.055,1009072619.206773,780771,234794.6283,527905592.149523
2024-01-05,2267.11,2277.21,2206.17,2268.78,405568.0006,910367621.181662,758963,213615.4427,479634490.30828
2024-01-06,2268.78,2270.0,2216.4,2240.78,194067.8656,434867515.959157,450441,96482.4173,216188633.006756
2024-01-07,2240.77,2258.01,2203.46,2221.42,207138.6927,463525159.257429,516569,102848.6702,230218378.9544
2024-01-08,2221.42,2358.2,2166.38,2330.44,539407.5547,1221527410.440822,1069027,279216.731,632217788.55808
2024-01-09,2330.43,2371.72,2226.78,2344.29,551454.9931,1267764132.836077,1196445,273075.8892,627991032.601324
2024-01-10,2344.3,2643.1,2339.59,2584.38,1038388.666,2536320982.388543,2010707,535126.4372,1307342421.540569
2024-01-11,2584.37,2689.39,2566.01,2618.01,838712.2577,2194916359.191646,1693755,422894.0564,1106947875.844673
2024-01-12,2618.01,2717.32,2458.0,2522.54,887457.7627,2318179618.086912,1860636,438363.572,1145981221.305494
2024-01-13,2522.55,2590.0,2497.5,2578.19,422061.232,1075466481.72042,898845,218172.4057,556065721.44368
2024-01-14,2578.18,2578.69,2470.0,2472.87,306207.7463,774962904.807117,732294,144164.479,364865278.473857
2024-01-15,2472.87,2553.82,2470.92,2511.78,315247.8819,793871974.871601,789378,159083.4366,400685806.641764
2024-01-16,2511.79,2614.43,2500.05,2587.4,381077.6247,972060398.7746,1140088,201471.8152,514039096.291548
2024-01-17,2587.41,2592.97,2506.75,2530.19,366281.3477,933809190.348208,1140624,180607.8146,460417669.702018
2024-01-18,2530.2,2550.0,2428.56,2470.81,452090.1074,1129803152.914788,894355,213299.1789,533210494.568168
2024-01-19,2470.81,2504.2,2415.2,2492.0,424209.0029,1047352971.89337,855044,206802.9585,510669928.423242
2024-01-20,2491.99,2492.0,2454.2,2472.01,136620.9577,337794603.1476,418938,64429.7262,159284530.839302
2024-01-21,2472.02,2482.18,2452.13,2457.05,122572.1687,303022758.728082,360446,61174.3555,151252878.978452
2024-01-22,2457.06,2466.1,2303.59,2314.2,526337.6492,1252505758.322904,933793,245492.642,584077487.054258
2024-01-23,2314.19,2352.23,2168.07,2242.6,700105.3314,1568448812.43809,1204183,342792.2358,768007673.887935
2024-01-24,2242.6,2264.6,2196.12,2235.02,359851.1496,802477123.108515,801012,175571.1055,391550218.454572
2024-01-25,2235.02,2242.89,2171.3,2218.64,330426.6061,731016014.382289,756164,167421.8149,370422421.764266
2024-01-26,2218.64,2282.36,2195.84,2267.68,363566.4255,815753832.163171,823603,182453.1834,409362536.723059
2024-01-27,2267.67,2282.94,2251.4,2267.94,145109.3836,329102144.459815,416970,71016.4181,161066722.425447
2024-01-28,2267.94,2308.24,2239.89,2256.9,209326.9087,476534769.158892,566626,104154.0496,237191132.099136
2024-01-29,2256.9,2322.34,2233.8,2317.6,305528.0776,696374288.619473,681798,162757.9493,370938691.791536
2024-01-30,2317.61,2391.98,2297.0,2343.01,372879.5791,871148737.166658,770660,183075.949,427968852.788697
2024-01-31,2343.0,2351.6,2263.57,2283.14,397116.1859,920131584.290104,922884,190645.6067,441780164.054719
2024-02-01,2283.15,2311.72,2240.0,2304.28,310997.4538,708868445.046755,779472,158219.2558,360682829.633507
2024-02-02,2304.28,2324.74,2281.94,2309.06,238230.511,549302201.697642,574621,124140.5547,286293198.37916
2024-02-03,2309.07,2329.98,2292.75,2296.49,133232.845,307866239.186442,397464,67739.1604,156542429.20219
2024-02-04,2296.5,2311.0,2266.0,2289.79,171232.0444,393039532.452068,506684,86355.8479,198240508.080911
2024-02-05,2289.79,2338.41,2269.11,2301.83,236610.412,545576620.002565,730863,119477.2073,275457076.81283
2024-02-06,2301.84,2392.4,2299.0,2372.64,368942.7498,864113645.787681,861796,194747.0503,455966832.433515
2024-02-07,2372.63,2444.44,2354.0,2425.1,342791.7013,820475884.303521,860357,170845.0334,409066707.644346
2024-02-08,2425.09,2463.15,2411.01,2419.55,338040.0539,821961943.652096,894102,171666.22,417466887.60629
2024-02-09,2419.56,2525.0,2419.16,2486.56,492384.385,1222635531.628793,1134276,267424.6382,663906268.872707
2024-02-10,2486.56,2516.45,2471.57,2500.24,185099.59,461966177.394756,622723,92100.7468,229916992.533443
2024-02-11,2500.24,2539.63,2493.45,2507.21,219975.1471,553430378.325069,711081,108625.5497,273332221.822829
2024-02-12,2507.22,2665.58,2472.0,2659.99,449501.776,1152087242.126358,1019390,234514.5882,600948748.239497
2024-02-13,2659.99,2686.12,2590.0,2639.99,502447.745,1328138932.929169,1044885,251035.4108,663739320.800162
2024-02-14,2639.99,2786.0,2618.4,2774.81,461670.6944,1258639954.547665,1090412,239546.5698,653095961.204625
2024-02-15,2774.8,2867.65,2759.25,2822.59,481689.1874,1353587492.514775,1347619,243023.6342,682988254.220004
2024-02-16,2822.58,2857.4,2740.0,2801.8,378070.8037,1062271564.48786,1123447,185179.0505,520346616.720798
2024-02-17,2801.81,2804.21,2719.01,2785.93,243302.8759,673711593.251713,969157,119901.8284,332078826.686927
2024-02-18,2785.92,2895.0,2764.25,2881.2,367987.8833,1037802342.593287,1311570,195921.8991,552680229.202235
2024-02-19,2881.2,2984.52,2856.93,2944.8,446451.0401,1302430726.129661,1539410,227406.12,663377285.582205
2024-02-20,2944.8,3033.09,2874.56,3014.81,634681.7471,1868745481.647549,1517960,326652.0062,962250454.924167
2024-02-21,3014.81,3017.15,2868.0,2967.9,595955.0033,1746960179.79394,1256455,304412.8595,892448097.686906
2024-02-22,2967.91,3036.02,2906.51,2971.4,563525.9936,1676206889.451405,1205856,287462.4082,855123373.243196
2024-02-23,2971.4,2993.8,2906.05,2922.24,428826.5787,1261137725.511952,1003464,213798.4907,628768240.52667
2024-02-24,2922.25,3007.48,2906.4,2992.62,243854.0783,721993808.566193,718718,129344.7613,382999668.629128
2024-02-25,2992.62,3122.0,2983.61,3112.59,412306.2237,1257766106.546299,1085332,214481.5073,654277370.550548
2024-02-26,3112.6,3196.0,3036.59,3175.94,546722.7747,1703165045.241492,1391934,261235.6085,814240988.847897
2024-02-27,3175.95,3288.14,3160.02,3242.36,625939.1221,2025805516.974933,1676466,313778.3423,1015674724.025601
2024-02-28,3242.35,3488.0,3176.16,3383.1,947538.766,3153201034.914763,2442603,475465.5259,1583075300.157671
2024-02-29,3383.11,3522.81,3300.0,3340.09,759698.1123,2608623102.49017,2112875,391723.2419,1346123911.227616
2024-03-01,3340.1,3450.0,3338.54,3433.43,412788.5773,1405295834.572694,1263130,199773.6622,680364451.594785
2024-03-02,3433.42,3460.04,3390.01,3421.4,283984.9448,971756920.451209,926113,138242.2778,473033589.279695
2024-03-03,3421.39,3491.8,3360.0,3487.81,341631.531,1172272660.98449,1116823,168839.1633,579484704.665243
2024-03-04,3487.8,3640.94,3423.78,3627.76,715360.6361,2526905041.93919,1953764,355054.0244,1255112595.621176
2024-03-05,3627.75,3822.04,3200.0,3553.65,1392904.864,5043847679.68348,3265582,683199.4423,2476743374.290515
2024-03-06,3553.66,3900.0,3499.4,3818.59,969494.71,3652250924.277737,2555462,479721.078,1807560970.848099
2024-03-07,3818.58,3933.81,3735.0,3868.76,540780.675,2067607917.443709,1636716,272250.4111,1041269288.719338
2024-03-08,3868.76,3993.75,3820.0,3883.36,646399.2589,2534209920.005565,1657141,322673.2991,1265164190.072715
2024-03-09,3883.37,3942.0,3870.01,3905.21,254839.1386,995823688.313553,819335,128650.6144,502755116.164503
2024-03-10,3905.2,3964.67,3791.26,3878.47,356664.68,1393415653.98342,1195480,170475.8389,666139346.304353
2024-03-11,3878.47,4086.23,3722.95,4064.8,721554.5139,2874119154.303359,1894504,332359.6655,1322703936.946775
2024-03-12,4064.8,4093.92,3828.98,3979.96,632787.3941,2522475873.08181,1878541,317065.073,1263946890.580183
2024-03-13,3979.97,4083.0,3932.23,4004.79,482305.7766,1933909390.302124,1536498,246106.0739,986890622.148062
2024-03-14,4004.79,4010.98,3723.0,3881.7,648237.5245,2520007951.6912,1919963,314205.6322,1221942698.652346
2024-03-15,3881.69,3934.02,3570.0,3742.19,947537.4071,3513477459.320449,2487337,465197.9489,1725903963.688357
2024-03-16,3742.19,3781.12,3468.8,3523.09,548288.1569,1999176881.312615,1798939,262005.6019,956602039.486558
2024-03-17,3523.09,3678.68,3412.0,3644.71,517790.9936,1843487764.621314,1721355,255961.304,911579392.357158
