open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2021-01-01,736.42,749.0,714.29,728.91,675114.09329,496072043.7774074,483671,338988.53158,249240373.9386839
2021-01-02,728.91,787.69,714.91,774.56,1352618.57668,1024472182.612087,824134,686674.73342,519915827.0114855
2021-01-03,774.44,1011.07,768.71,978.28,2813603.88615,2522411859.73161,1636501,1439027.79886,1290266275.5931487
2021-01-04,978.33,1162.97,890.0,1041.43,4245010.94004,4303634203.219599,2477862,2126337.6721,2157639019.329191
2021-01-05,1041.45,1134.6,974.45,1099.56,2706995.67525,2857050280.0081425,1960503,1337641.02794,1412551452.853558
2021-01-06,1100.16,1213.0,1057.26,1208.42,2390136.59334,2725262121.288513,1600888,1227955.8885,1401239480.5305793
2021-01-07,1208.75,1289.0,1131.0,1224.87,1972922.82059,2406219891.368534,1402699,974726.97516,1189746026.1513844
2021-01-08,1224.86,1273.75,1065.0,1216.93,2131172.92341,2543427452.5801253,1718817,1042889.10509,1246619297.4198394
2021-01-09,1216.72,1304.37,1171.36,1276.0,1448871.11514,1780137376.4164696,1131871,746369.6968,918333130.7683301
2021-01-10,1276.0,1348.33,1170.0,1254.25,1951179.35003,2517791852.407762,1437486,979792.30536,1266203575.0952868
2021-01-11,1254.24,1260.0,915.0,1087.01,4099450.90046,4323564508.699637,2577496,1981122.01834,2089606728.712708
2021-01-12,1087.0,1150.02,1006.33,1050.16,2302645.34052,2491067092.510127,1516625,1149858.00491,1244662146.2852807
2021-01-13,1050.36,1137.65,987.48,1129.89,1564202.39081,1664178969.0738044,1123983,792814.80569,844656818.225537
2021-01-14,1129.79,1247.55,1086.7,1231.62,1555737.38556,1825860914.1737955,1255769,794405.96443,932454704.101369
2021-01-15,1231.89,1256.98,1069.42,1168.53,1944038.83738,2302781118.9587393,1519266,966118.73281,1145518024.4912322
2021-01-16,1168.48,1298.0,1151.77,1227.83,1575384.43797,1927453174.611793,1252473,804431.16803,984555467.0914599
2021-01-17,1227.83,1269.02,1165.0,1232.45,1317285.00579,1606424364.4970417,1121278,665250.50449,811881943.4555254
2021-01-18,1232.5,1260.75,1182.58,1258.45,998050.11073,1223628040.7372608,940604,499759.24002,613148505.5656064
2021-01-19,1258.52,1438.3,1251.49,1365.36,2278852.55758,3120980923.930309,1840481,1158029.40293,1585793803.6607606
