open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2019-03-19,137.62,139.38,136.97,138.55,218577.45208,30175322.0784989,82348,109609.32108,15133834.0854586
2019-03-20,138.56,139.66,136.01,139.01,222883.51754,30757997.8115518,83814,111862.81746,15442583.4302502
2019-03-21,139.04,139.55,131.21,134.85,312531.39368,42635937.4891712,113797,152957.11763,20873314.5916673
2019-03-22,134.85,137.2,134.29,135.98,186119.74745,25309122.7264498,79782,86857.86292,11807827.6399908
2019-03-23,135.92,138.21,135.6,137.28,174710.43059,23922572.3588934,73884,89401.14291,12241766.4910705
2019-03-24,137.28,137.37,134.75,136.09,198490.45124,27042322.6952009,82361,104851.44764,14288924.6066131
2019-03-25,136.12,136.83,131.6,133.98,230880.285,31082445.5932449,98246,113167.35254,15241833.9287975
2019-03-26,133.97,134.74,132.27,134.18,183139.11426,24490323.0607397,86841,97876.42094,13089415.407876
2019-03-27,134.14,140.14,133.84,139.45,317167.45325,43635238.4289265,119271,160680.98018,22102568.2807168
2019-03-28,139.46,139.57,137.3,137.86,163185.6991,22543474.6122913,73225,84450.31652,11668218.2808296
2019-03-29,137.85,143.6,137.62,143.25,235853.0454,33098245.9556135,94717,131841.45562,18506823.9148035
2019-03-30,143.25,145.89,140.06,142.46,254798.70067,36382647.2268952,97751,129968.43382,18560580.2960051
2019-03-31,142.44,142.5,140.42,141.38,142469.21171,20131931.6990724,65047,72121.13189,10190807.1234262
2019-04-01,141.41,143.08,139.57,141.24,234310.19161,33234998.6438733,90705,113803.3589,16144688.8761052
2019-04-02,141.24,165.6,141.0,163.31,906868.8586,138094679.3020432,289637,482112.08002,73443507.9200122
2019-04-03,163.26,177.81,149.23,159.96,1345344.53845,225523896.2014656,423036,689694.17267,115677526.5301595
2019-04-04,159.96,164.0,152.8,157.36,686080.95248,109082183.5877348,242989,356683.70225,56656754.5528508
2019-04-05,157.33,167.83,155.94,164.77,516070.34553,84123101.326904,175261,271221.4937,44191135.1652073
2019-04-06,164.84,172.77,159.2,165.5,528168.33297,87657058.1149817,163384,246862.26683,40956422.1686785
2019-04-07,165.56,175.43,164.06,174.21,465507.52497,78876773.2967177,161529,242883.45203,41159550.0758761
2019-04-08,174.29,185.87,170.9,178.72,873410.07285,156417981.3021178,272413,427707.91163,76637333.1736062
2019-04-09,178.71,179.17,171.05,174.6,431986.36108,75745619.5720787,156659,215364.15603,37760201.750469
2019-04-10,174.58,183.77,168.0,177.12,523943.20498,93283836.587114,171960,259905.55155,46278256.1694819
2019-04-11,177.12,177.48,158.27,164.07,661305.30321,110201659.9478763,224876,324992.46047,54204202.7009011
2019-04-12,164.06,166.5,158.11,163.19,316337.87823,51556919.1461367,124732,150876.36061,24590803.156257
2019-04-13,163.2,165.37,160.74,162.99,179237.74574,29247030.1526373,75202,86353.32588,14092848.8013165
2019-04-14,162.99,168.11,161.2,167.23,186977.66211,30640985.0609499,72468,94730.83063,15525685.9586687
2019-04-15,167.21,168.81,155.7,159.95,351548.9079,57215098.1117043,113590,172067.32017,27988295.6123212
2019-04-16,159.91,166.73,159.41,165.37,240370.50441,39245823.494595,82937,114539.76934,18700484.0716318
2019-04-17,165.41,167.28,163.78,165.75,227841.54981,37678036.5964673,85475,108219.2429,17898625.6879676
2019-04-18,165.75,175.2,165.04,173.33,396118.94407,68031293.2325779,114728,187459.43239,32180911.9515491
2019-04-19,173.34,173.55,168.59,172.64,320541.72166,54991300.1097207,104551,164821.29068,28289262.9965785
2019-04-20,172.66,176.97,169.87,172.88,253596.48407,43939979.0160537,94403,123125.92238,21340355.6503773
2019-04-21,172.89,173.48,164.82,168.59,283450.43943,47781349.4020958,108394,143539.87051,24194584.2541682
2019-04-22,168.59,172.3,167.0,170.52,269868.39876,45832751.057015,96396,138724.4816,23564465.865101
2019-04-23,170.52,175.83,167.78,169.16,363523.34531,62784241.170476,126520,173307.59552,29939794.2880097
2019-04-24,169.15,169.87,159.26,164.78,426497.04153,70076178.2845027,154469,213010.94018,35036327.1899716
2019-04-25,164.78,165.49,150.35,154.72,422657.03239,67326464.6484704,139927,207493.18153,33080029.9738367
2019-04-26,154.7,162.56,151.4,157.95,500355.86283,78334214.8744062,162730,265522.61201,41573088.7327604
2019-04-27,157.93,166.24,156.35,159.31,215918.63842,34294277.9954465,89809,107892.49091,17154456.8972602
2019-04-28,159.32,160.24,156.92,157.85,152976.30181,24304182.1410825,72048,75258.19531,11957085.7119324
2019-04-29,157.86,159.05,152.0,155.11,243591.94898,37892463.2904875,98779,112271.92569,17468433.9677487
2019-04-30,155.14,162.89,155.11,161.83,305056.24653,48352308.3471109,109233,151942.02827,24090968.4446659
2019-05-01,161.85,163.88,158.36,160.19,192517.62763,30965351.6968463,88509,94853.75564,15258332.5783326
2019-05-02,160.2,163.48,158.5,161.81,289519.02025,46716417.0127823,97201,146854.42652,23699004.0309024
2019-05-03,161.82,170.86,160.99,168.06,416357.52123,69185162.5971677,136042,207707.51957,34533057.3557652
2019-05-04,168.1,171.3,159.76,163.7,312928.58349,51596174.4008955,115264,154550.58103,25484130.1377269
2019-05-05,163.71,165.36,159.18,163.05,176029.10445,28659516.7862457,79825,87458.50631,14243649.4161677
2019-05-06,163.05,178.05,157.55,173.0,506528.14278,86112232.475863,151543,279631.33418,47643694.0236483
2019-05-07,172.98,182.76,167.89,169.18,732496.87861,129206700.1276838,208268,359208.70506,63321000.845897
2019-05-08,169.07,173.17,164.8,170.85,296436.29384,50312349.784776,108814,143905.37197,24437499.2547135
2019-05-09,170.88,173.88,166.57,170.9,284663.99456,48482365.5414184,111190,139490.30992,23762799.5699061
2019-05-10,170.96,176.7,168.46,172.91,425543.74021,73717438.6539584,142024,217209.97186,37614456.1038559
2019-05-11,172.92,205.23,172.92,190.2,885292.38389,167180496.7623297,246217,460145.37432,86846859.5315182
2019-05-12,190.2,204.32,181.0,188.11,823372.28148,157611011.7252508,228585,414771.2365,79418296.1144372
2019-05-13,188.07,206.87,185.32,195.84,669265.46524,131102303.1385697,190439,345029.21196,67607153.3601666
2019-05-14,195.83,219.81,194.19,216.4,864211.00603,179717430.3107268,248577,451375.98025,93947890.711338
2019-05-15,216.4,250.27,216.21,248.1,574697.29927,135054369.6175697,176272,300224.48606,70516284.6634335
